component_name,created_at,current_value,data_type,id,is_writable,machine_id,max_value,min_value,parameter_name,read_modbus_address,set_value,show_in_graph,show_in_ui,updated_at,write_modbus_address
Pressure Gauge 2,2025-05-03T19:51:59.862121+00:00,0,float,5cd93dc4-7ac9-4891-a5c5-f6317f44b375,True,e3e6e280-0794-459f-84d5-5e468f60746e,10,0,scale_min_voltage,2076,,False,False,2025-05-03T19:51:59.862121+00:00,3076
Pressure Gauge 1,2025-05-03T19:51:59.862121+00:00,10,float,b2001fea-11d7-4aed-9856-c9206c70c27f,True,e3e6e280-0794-459f-84d5-5e468f60746e,10,0,scale_max_voltage,2068,,False,False,2025-05-03T19:51:59.862121+00:00,3068
Pressure Gauge 1,2025-05-03T19:51:59.862121+00:00,0,float,45712c4d-dcc0-46a7-9e16-12c810fa3439,True,e3e6e280-0794-459f-84d5-5e468f60746e,10,0,scale_min_voltage,2066,,False,False,2025-05-03T19:51:59.862121+00:00,3066
Pressure Gauge 2,2025-05-03T19:51:59.862121+00:00,10,float,00950d67-97d8-441d-907f-1627409c75d8,True,e3e6e280-0794-459f-84d5-5e468f60746e,10,0,scale_max_voltage,2078,,False,False,2025-05-03T19:51:59.862121+00:00,3078
MFC 1,2025-05-03T19:50:15.489988+00:00,0,float,4c2e51ab-d694-4d85-8c26-01c0ec732e1e,True,e3e6e280-0794-459f-84d5-5e468f60746e,10,0,scale_min_voltage,2100,,False,False,2025-05-03T19:50:15.489988+00:00,3100
MFC 1,2025-05-03T19:50:15.489988+00:00,10,float,a9db4b32-e34a-4cf1-82ac-eb32ce63ca2d,True,e3e6e280-0794-459f-84d5-5e468f60746e,10,0,scale_max_voltage,2098,,False,False,2025-05-03T19:50:15.489988+00:00,3098
Pressure Gauge 2,2025-04-21T15:24:16.041814+00:00,0,binary,8f6c5108-58e2-4efd-9bfe-675e640decb7,True,e3e6e280-0794-459f-84d5-5e468f60746e,100000,0,zero_cal,8,,False,False,2025-04-22T11:30:40.773157+00:00,1008
Pressure Gauge 1,2025-04-21T15:24:16.041814+00:00,0,binary,538fcee5-09ec-45ba-83e0-62b73761bf9a,True,e3e6e280-0794-459f-84d5-5e468f60746e,100000,0,span_cal,7,,False,False,2025-04-22T11:30:40.482895+00:00,1007
Pressure Gauge 2,2025-04-21T15:24:16.041814+00:00,0,float,e4464c5a-cc47-4b8e-95f0-d0c5c969270c,True,e3e6e280-0794-459f-84d5-5e468f60746e,100000,0,scale_min,2074,,False,False,2025-04-22T11:30:40.676761+00:00,3074
Pressure Gauge 2,2025-04-21T15:24:16.041814+00:00,100000,float,61342cfe-7a0c-4ca4-a30b-1770b9e38e2d,True,e3e6e280-0794-459f-84d5-5e468f60746e,100000,0,scale_max,2072,,False,False,2025-04-22T11:30:40.725188+00:00,3070
Pressure Gauge 1,2025-04-21T15:24:16.041814+00:00,0,binary,27b5f623-a88e-4a94-aba2-58cc30c5257c,True,e3e6e280-0794-459f-84d5-5e468f60746e,100000,0,zero_cal,6,,False,False,2025-04-22T11:30:40.434897+00:00,1006
MFC 1,2025-04-21T15:24:16.041814+00:00,0,float,656f98b2-1d0f-4f65-a5d0-a3b2357bbeaf,True,e3e6e280-0794-459f-84d5-5e468f60746e,200,0,scale_min,2084,,False,False,2025-04-22T11:30:41.444781+00:00,3084
MFC 1,2025-04-21T15:24:16.041814+00:00,0,binary,b48a22bf-461f-4c0f-8da9-b1544b0f3d70,True,e3e6e280-0794-459f-84d5-5e468f60746e,200,0,zero_cal,22,,False,False,2025-04-22T11:30:41.35295+00:00,1022
Pressure Gauge 1,2025-04-21T15:24:16.041814+00:00,100000,float,35dc8e4c-06bc-4c0e-adbf-f045c1322f1a,True,e3e6e280-0794-459f-84d5-5e468f60746e,100000,0,scale_max,2062,,False,False,2025-04-22T11:30:40.386738+00:00,3062
Exhaust Gate Valve,2025-04-21T15:24:16.041814+00:00,0,binary,e5001e41-7b4e-4afd-aa78-3f862be12f0a,True,e3e6e280-0794-459f-84d5-5e468f60746e,1,0,valve_state,11,,False,True,2025-04-22T11:30:41.063892+00:00,11
Nitrogen Generator,2025-04-21T15:24:16.041814+00:00,0,,1f2b1f8f-a756-4abb-bd0f-0bf05b9888b3,True,e3e6e280-0794-459f-84d5-5e468f60746e,100,0,scale_min,,,False,False,2025-04-22T11:30:41.770839+00:00,
Nitrogen Generator,2025-04-21T15:24:16.041814+00:00,100,,5090a678-2d53-4bab-bc81-977b47190c51,True,e3e6e280-0794-459f-84d5-5e468f60746e,100,0,scale_max,,,False,False,2025-04-22T11:30:41.818297+00:00,
Nitrogen Generator,2025-04-21T15:24:16.041814+00:00,0,,475ea660-2251-4d91-bdbd-0766a8655ddd,True,e3e6e280-0794-459f-84d5-5e468f60746e,100,0,zero_cal,,,False,False,2025-04-22T11:30:41.677592+00:00,
Nitrogen Generator,2025-04-21T15:24:16.041814+00:00,0,,9f5387b8-a1b8-4b44-b4a5-be8134e834c5,True,e3e6e280-0794-459f-84d5-5e468f60746e,100,0,span_cal,,,False,False,2025-04-22T11:30:41.723279+00:00,
Nitrogen Generator,2025-04-21T15:24:16.041814+00:00,0,binary,3f9fffa2-3176-43c3-a159-ffd4c3aadbb8,False,e3e6e280-0794-459f-84d5-5e468f60746e,100,0,purity,35,,False,True,2025-04-22T11:30:41.627413+00:00,35
MFC 1,2025-04-21T15:24:16.041814+00:00,200,float,12db5c62-1791-4b52-85e7-491965dc02e9,True,e3e6e280-0794-459f-84d5-5e468f60746e,200,0,scale_max,2080,64,False,False,2025-04-22T11:30:41.489921+00:00,3080
MFC 1,2025-04-21T15:24:16.041814+00:00,0,binary,83b03e5c-ec49-4123-80e6-8043302bbe3d,True,e3e6e280-0794-459f-84d5-5e468f60746e,200,0,span_cal,21,,False,False,2025-04-22T11:30:41.398808+00:00,1021
Pressure Gauge 2,2025-04-21T15:24:16.041814+00:00,0,binary,d685d5b4-012e-4f23-982c-6bb4c4b23adf,True,e3e6e280-0794-459f-84d5-5e468f60746e,100000,0,span_cal,9,,False,False,2025-04-22T11:30:40.820556+00:00,1009
Pressure Gauge 1,2025-04-21T15:24:16.041814+00:00,0,float,7f9ede59-32bd-4420-91e1-c5bc7b077faf,True,e3e6e280-0794-459f-84d5-5e468f60746e,100000,0,scale_min,2064,,False,False,2025-04-22T11:30:40.341103+00:00,3064
